city,area_name,place_id,name,rating,popularity,price_level,types_csv,address,category_main
台北市,信義區,ChIJPbbLlLurQjQRumJSj8aVbmk,莫爾頓牛排館,4.3,5743,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段68號45F,其他
台北市,信義區,ChIJQeGuX7mrQjQRaWkzgt7mxpU,星期五美式餐廳 信義餐廳,4.4,4760,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段8號2樓,美式
台北市,信義區,ChIJHd7EPMarQjQRNjXqec_9Cys,The Chips 信義店,4.2,2300,2.0,"restaurant,store,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號5 樓,其他
台北市,信義區,ChIJieKHJvurQjQRV0sWxBYJhfI,瀧厚炙燒熟成牛排 台北.信義ATT店,4.6,2239,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號ATT 4 FUN5樓,其他
台北市,信義區,ChIJYzLihrurQjQRVmV1XPoNuks,艾朋牛排餐酒館,4.7,11122,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段139號2樓,其他
台北市,信義區,ChIJfY_HnrCrQjQRxus0Ujf7Q24,吉比鮮釀餐廳 台北信義店 GBA Brewery Restaurant - Taipei Hsinyi Store,4.3,3677,2.0,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路11號2樓,其他
台北市,信義區,ChIJC1PDcsmrQjQR_f22mdWyC-g,SHANN SHANN 小香 台北三越信義店,4.7,989,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路9號6樓,其他
台北市,信義區,ChIJeYBhGberQjQRAH3dKYsaHtc,A Beach 101&Pizza,4.5,2242,2.0,"restaurant,bar,point_of_interest,food,establishment",110台灣台北市信義區信義路五段18號B1,義式
台北市,信義區,ChIJRRyG_YyrQjQRLVtrXvdemBc,HOOTERS美式餐廳 信義店,4.7,5602,3.0,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區松仁路58號14樓,美式
台北市,信義區,ChIJ6_oVSkWrQjQR54cy3l3OqSk,揪餖燒肉 微風南山店,4.6,2772,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號5 樓,其他
台北市,信義區,ChIJkwrfdyGrQjQRcFyBCLfqGGI,刁民-酸菜魚 信義店,4.5,3382,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號1 樓,其他
台北市,信義區,ChIJZ23jf7urQjQRtTeK8vsFPGo,永心鳳茶｜微風信義店 YONSHIN FENGCHA,4.1,2928,2.0,"restaurant,point_of_interest,food,establishment","3樓, No. 68號忠孝東路五段信義區台北市台灣 110",其他
台北市,信義區,ChIJ1zxshFCrQjQR3ezNHLl5bXM,路易奇電力公司 信義電廠,4.5,989,,"restaurant,point_of_interest,food,establishment","1樓, No. 1-3號忠孝東路五段信義區台北市台灣 110",其他
台北市,信義區,ChIJTc5cYe-rQjQRn5WvAvGWsTw,微風南山 Fundamental Buffet 吃到飽,4.5,1264,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號4 樓,其他
台北市,信義區,ChIJny7cm_mrQjQRXc1MKexwNQA,隱世餐酒館(台北永春店),4.6,1433,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段297號B1F,其他
台北市,信義區,ChIJz8_rGbyrQjQRD1-qfRm5C1M,JK STUDIO 法式餐酒館 (台北信義店),4.7,1973,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區基隆路一段147巷5弄13號,其他
台北市,信義區,ChIJK642HcqrQjQR42j9RUyIKgI,心月,4.4,617,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路四段466號,其他
台北市,信義區,ChIJcWEmupOrQjQR9z8BvRI1cW0,燒肉神保町信義館,4.6,5919,2.0,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號4樓,其他
台北市,信義區,ChIJZVGPdlCrQjQRYQbyyBX7IaI,旬味 自然鍋物-台北美食 信義區美食 信義區火鍋 信義區火鍋推薦 信義區好吃推薦 信義區高CP值火鍋鍋物 火鍋推薦 寵物友善,4.8,1396,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區逸仙路50巷18號,火鍋
台北市,信義區,ChIJQXcl6LarQjQRGUMnQ18F0lE,鼎泰豐 101店,4.5,12762,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區市府路45號B1,其他
台北市,信義區,ChIJFdR9pRWrQjQRMSPS-MGaMA0,Babylon Taipei,4.3,1323,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號Babylon Taipei11樓,其他
台北市,信義區,ChIJc_6fMzerQjQRHcqXwpPVxFo,SALT&STONE 台北101餐廳,4.5,4206,2.0,"bakery,restaurant,store,point_of_interest,food,establishment",110台灣台北市信義區市府路45號4樓,甜點/烘焙
台北市,信義區,ChIJ6ere6rurQjQRCmicPiS523g,INPARADISE 饗饗 微風信義店,4.2,11442,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段68號微風信義46樓,其他
台北市,信義區,ChIJjfzEsLCrQjQRVcQNcIk94A8,饗食天堂 台北信義店,4.2,6787,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號ATT 4 FUN百貨6樓,其他
台北市,信義區,ChIJ1S3Z6barQjQRUnd4BwJ6NkY,隨意鳥地方101景觀餐廳,4.1,4791,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路五段7號85F,其他
